Order,Property ID,Lot Area,Street,Alley,Lot Config,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Foundation,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Pool Area,Fence,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,10000,Pave,NA,Corner,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,PConc,Unf,0,Unf,0,763,763,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,440,Y,157,84,0,NA,4,2010,WD ,Normal,175900
12,527165230,7980,Pave,NA,Inside,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,PConc,ALQ,935,Unf,0,233,1168,GasA,Y,SBrkr,1,0,2,0,3,1,6,0,Attchd,2,420,Y,483,21,0,GdPrv,3,2010,WD ,Normal,185000
13,527166040,8402,Pave,NA,Inside,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,789,789,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,393,Y,0,75,0,NA,5,2010,WD ,Normal,180400
14,527180040,10176,Pave,NA,Inside,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,PConc,GLQ,637,Unf,0,663,1300,GasA,Y,SBrkr,1,0,1,1,2,1,5,1,Attchd,2,506,Y,192,0,0,NA,2,2010,WD ,Normal,171500
15,527182190,6820,Pave,NA,Corner,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,PConc,GLQ,368,BLQ,1120,0,1488,GasA,Y,SBrkr,1,0,1,1,1,1,4,0,Attchd,2,528,Y,0,54,0,NA,6,2010,WD ,Normal,212000
16,527216070,53504,Pave,NA,CulDSac,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,PConc,ALQ,1416,Unf,0,234,1650,GasA,Y,SBrkr,1,0,3,1,4,1,12,1,BuiltIn,3,841,Y,503,36,0,NA,6,2010,WD ,Normal,538000
17,527225035,12134,Pave,NA,Inside,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,Wood,GLQ,427,Unf,0,132,559,GasA,Y,SBrkr,0,0,2,0,4,1,8,0,Basment,2,492,Y,325,12,0,NA,6,2010,WD ,Normal,164000
18,527258010,11394,Pave,NA,Corner,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,1445,Unf,0,411,1856,GasA,Y,SBrkr,1,0,1,1,1,1,8,1,Attchd,3,834,Y,113,0,0,NA,6,2010,New,Partial,394432
19,527276150,19138,Pave,NA,Corner,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,CBlock,LwQ,120,Unf,0,744,864,GasA,Y,SBrkr,0,0,1,0,2,1,4,0,Detchd,2,400,Y,0,0,0,NA,6,2010,WD ,Normal,141000
20,527302110,13175,Pave,NA,Inside,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,CBlock,ALQ,790,Rec,163,589,1542,GasA,Y,SBrkr,1,0,2,0,3,1,7,2,Attchd,2,500,Y,349,0,0,MnPrv,2,2010,WD ,Normal,210000
21,527358140,11751,Pave,NA,Inside,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,CBlock,BLQ,705,Unf,0,1139,1844,GasA,Y,SBrkr,0,0,2,0,3,1,7,1,Attchd,2,546,Y,0,122,0,MnPrv,1,2010,COD,Normal,190000
22,527358200,10625,Pave,NA,Inside,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,CBlock,GLQ,885,LwQ,168,0,1053,GasA,Y,SBrkr,1,0,2,0,3,1,6,2,Attchd,2,528,Y,0,120,0,MnPrv,1,2010,WD ,Family,170000
23,527368020,7500,Pave,NA,Inside,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,533,Unf,0,281,814,GasA,Y,SBrkr,1,0,2,1,3,1,7,0,Attchd,2,663,Y,0,96,0,NA,1,2010,WD ,Normal,216000
24,527402200,11241,Pave,NA,CulDSac,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,ALQ,578,Unf,0,426,1004,GasA,Y,SBrkr,1,0,1,0,2,1,5,1,Attchd,2,480,Y,0,0,0,NA,3,2010,WD ,Normal,149000
25,527402250,12537,Pave,NA,CulDSac,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,CBlock,GLQ,734,Unf,0,344,1078,GasA,Y,SBrkr,1,0,1,1,3,1,6,1,Attchd,2,500,Y,0,0,0,NA,4,2010,WD ,Normal,149900
26,527403020,8450,Pave,NA,Inside,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,CBlock,BLQ,775,Unf,0,281,1056,GasA,Y,SBrkr,1,0,1,0,3,1,6,1,Attchd,1,304,Y,0,85,0,NA,7,2010,WD ,Normal,142000
27,527404120,8400,Pave,NA,Corner,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,CBlock,ALQ,804,Rec,78,0,882,GasA,Y,SBrkr,1,0,1,0,2,1,4,0,Attchd,2,525,Y,240,0,0,MnPrv,4,2010,WD ,Normal,126000
28,527425090,10500,Pave,NA,FR2,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,CBlock,ALQ,432,Unf,0,432,864,GasA,Y,SBrkr,0,0,1,0,3,1,5,1,NA,0,0,Y,0,0,0,NA,4,2010,ConLI,Normal,115000
29,527427230,5858,Pave,NA,FR2,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,PConc,GLQ,1051,BLQ,0,354,1405,GasA,Y,SBrkr,1,0,2,0,2,1,5,1,Attchd,2,511,Y,203,68,0,NA,6,2010,WD ,Normal,184000
30,527451180,1680,Pave,NA,Inside,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,CBlock,Rec,156,Unf,0,327,483,GasA,Y,SBrkr,0,0,1,1,2,1,5,0,Detchd,1,264,Y,275,0,0,NA,2,2010,COD,Normal,96000
31,527451330,1680,Pave,NA,Inside,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,CBlock,Rec,300,Unf,0,225,525,GasA,Y,SBrkr,0,0,1,1,3,1,6,0,Detchd,1,320,Y,0,0,0,NA,3,2010,WD ,Normal,105500
32,527451410,1680,Pave,NA,Inside,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,CBlock,Unf,0,Unf,0,525,525,GasA,Y,SBrkr,0,0,1,1,3,1,6,0,Detchd,1,264,Y,0,0,0,NA,3,2010,WD ,Family,88000
33,527452190,4043,Pave,NA,Inside,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,CBlock,ALQ,360,Unf,0,709,1069,GasA,Y,SBrkr,0,0,2,0,2,1,4,1,Attchd,2,440,Y,0,55,0,NA,7,2010,WD ,Normal,127500
34,527453130,2280,Pave,NA,FR2,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,CBlock,ALQ,514,Unf,0,341,855,GasA,Y,SBrkr,0,0,2,1,3,1,6,1,Attchd,2,440,Y,173,0,0,NA,6,2010,WD ,Normal,149900
35,527453150,2280,Pave,NA,FR2,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,CBlock,Unf,0,Unf,0,836,836,GasA,Y,SBrkr,0,0,1,0,2,1,4,0,Attchd,1,308,Y,0,30,0,NA,6,2010,WD ,Normal,120000
36,527454200,2280,Pave,NA,Inside,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,CBlock,ALQ,311,Unf,0,544,855,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,440,Y,26,0,0,NA,7,2010,WD ,Normal,146000
37,528108120,12858,Pave,NA,Inside,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1590,1590,GasA,Y,SBrkr,0,0,2,1,3,1,10,1,Attchd,3,751,Y,144,133,0,NA,1,2010,New,Partial,376162
38,528112020,11478,Pave,NA,Inside,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,1218,Unf,0,486,1704,GasA,Y,SBrkr,1,0,2,0,3,1,7,1,Attchd,3,772,Y,0,50,0,NA,5,2010,WD ,Normal,306000
39,528120060,10159,Pave,NA,Inside,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,1646,Unf,0,284,1930,GasA,Y,SBrkr,1,0,2,1,3,1,8,1,Attchd,3,606,Y,168,95,0,NA,4,2010,New,Partial,395192
40,528120090,12883,Pave,NA,Corner,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1544,1544,GasA,Y,SBrkr,0,0,2,0,3,1,7,0,Attchd,3,868,Y,0,35,0,NA,6,2010,New,Partial,290941
41,528120100,12182,Pave,NA,Corner,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,PConc,BLQ,1201,Unf,0,340,1541,GasA,Y,SBrkr,0,0,2,0,3,1,7,1,Attchd,2,532,Y,0,70,0,NA,5,2010,New,Partial,220000
42,528120120,11520,Pave,NA,Inside,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,110,Unf,0,1588,1698,GasA,Y,SBrkr,0,0,2,0,3,1,7,1,Attchd,3,730,Y,192,74,0,NA,6,2010,WD ,Normal,275000
43,528138020,14122,Pave,NA,Inside,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,PConc,GLQ,28,Unf,0,1794,1822,GasA,Y,SBrkr,0,0,2,0,3,1,8,1,Attchd,3,678,Y,0,119,0,NA,2,2010,WD ,Normal,259000
44,528138060,10171,Pave,NA,Inside,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,2,Unf,0,1515,1517,GasA,Y,SBrkr,0,0,2,0,3,1,7,0,Attchd,2,532,Y,0,0,0,NA,3,2010,WD ,Normal,214000
45,528150070,12919,Pave,NA,Inside,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,2188,Unf,0,142,2330,GasA,Y,SBrkr,1,0,2,1,2,1,11,2,Attchd,3,820,Y,0,67,0,NA,3,2010,New,Partial,611657
46,528175010,6371,Pave,NA,Inside,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,733,Unf,0,625,1358,GasA,Y,SBrkr,1,0,2,0,2,1,6,1,Attchd,2,484,Y,192,35,0,NA,6,2010,New,Partial,224000
47,528176010,14300,Pave,NA,Inside,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,1373,Unf,0,1473,2846,GasA,Y,SBrkr,1,0,2,1,3,1,10,2,Attchd,3,958,Y,220,150,0,NA,6,2010,WD ,Normal,500000
48,528176070,13650,Pave,NA,Corner,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,578,Unf,0,1093,1671,GasA,Y,SBrkr,1,0,2,1,3,1,7,1,Attchd,3,756,Y,238,130,0,NA,6,2010,WD ,Normal,320000
49,528180070,7658,Pave,NA,Inside,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,PConc,GLQ,456,Unf,0,1296,1752,GasA,Y,SBrkr,1,0,2,0,2,1,6,1,Attchd,2,576,Y,196,82,0,NA,2,2010,WD ,Normal,319900
50,528181050,7132,Pave,NA,Inside,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,24,Unf,0,1346,1370,GasA,Y,SBrkr,0,0,2,0,2,1,6,1,Attchd,2,484,Y,120,49,0,NA,4,2010,WD ,Normal,205000
51,528188120,2628,Pave,NA,Inside,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,PConc,Unf,0,Unf,0,764,764,GasA,Y,SBrkr,0,0,2,1,2,1,6,0,BuiltIn,2,474,Y,0,27,0,NA,6,2010,WD ,Normal,175500
52,528218150,18494,Pave,NA,Corner,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1324,1324,GasA,Y,SBrkr,0,0,2,0,3,1,6,0,Attchd,2,430,Y,36,23,0,NA,1,2010,WD ,Normal,199500
53,528228285,3203,Pave,NA,Inside,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,16,Unf,0,1129,1145,GasA,Y,SBrkr,0,0,2,0,2,1,6,0,Attchd,2,437,Y,100,116,0,NA,1,2010,WD ,Normal,160000
54,528228440,3182,Pave,NA,Inside,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,24,Unf,0,1232,1256,GasA,Y,SBrkr,0,0,2,0,2,1,6,1,Attchd,2,430,Y,146,20,0,NA,4,2010,WD ,Normal,192000
55,528231020,13300,Pave,NA,Inside,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,326,Unf,0,58,384,GasA,Y,SBrkr,1,0,2,1,3,1,7,1,BuiltIn,2,400,Y,100,0,0,NA,6,2010,WD ,Normal,184500
56,528240070,7851,Pave,NA,Inside,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,625,Unf,0,235,860,GasA,Y,SBrkr,1,0,2,1,4,1,8,2,BuiltIn,2,440,Y,288,48,0,NA,5,2010,WD ,Normal,216500
57,528240130,8577,Pave,NA,Inside,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,847,847,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,BuiltIn,2,433,Y,144,48,0,NA,4,2010,WD ,Normal,185088
58,528250100,7750,Pave,NA,Inside,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,250,Unf,0,134,384,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,BuiltIn,2,400,Y,180,0,0,NA,4,2010,WD ,Normal,180000
59,528292020,9505,Pave,NA,CulDSac,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,884,884,GasA,Y,SBrkr,0,0,2,1,3,1,8,1,BuiltIn,2,434,Y,144,48,0,NA,5,2010,WD ,Normal,222500
60,528328100,14774,Pave,NA,Corner,1Fam,2Story,9,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1393,1393,GasA,Y,SBrkr,0,0,2,1,4,1,10,1,BuiltIn,3,779,Y,668,30,0,NA,5,2010,WD ,Normal,333168
61,528344070,17433,Pave,NA,CulDSac,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1629,1629,GasA,Y,SBrkr,0,0,2,1,4,1,7,1,Attchd,3,962,Y,23,172,0,NA,1,2010,WD ,Normal,355000
62,528358010,10593,Pave,NA,Inside,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,919,Unf,0,801,1720,GasA,Y,SBrkr,1,0,2,0,3,1,7,1,Attchd,2,527,Y,240,56,0,NA,3,2010,WD ,Normal,260400
63,528363130,12256,Pave,NA,Corner,1Fam,2Story,8,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,PConc,GLQ,1032,Unf,0,431,1463,GasA,Y,SBrkr,1,0,2,1,3,1,9,2,Attchd,2,712,Y,186,32,0,NA,4,2010,WD ,Normal,325000
64,528382020,11764,Pave,NA,CulDSac,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,524,Unf,0,628,1152,GasA,Y,SBrkr,0,0,2,1,4,1,9,1,Attchd,3,671,Y,132,57,0,NA,4,2010,WD ,Normal,290000
65,528382030,16770,Pave,NA,CulDSac,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1195,1195,GasA,Y,SBrkr,0,0,2,1,4,1,7,0,Attchd,2,486,Y,0,81,0,NA,6,2010,WD ,Normal,221000
66,528386040,14720,Pave,NA,CulDSac,1Fam,1.5Fin,8,5,1995,1996,Hip,CompShg,VinylSd,VinylSd,PConc,GLQ,816,Unf,0,1217,2033,GasA,Y,SBrkr,1,0,2,1,4,1,9,1,Attchd,3,666,Y,283,86,0,NA,3,2010,WD ,Normal,410000
67,528445060,8987,Pave,NA,Inside,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1595,1595,GasA,Y,SBrkr,0,0,2,0,2,1,6,1,Attchd,3,880,Y,144,0,0,NA,5,2010,WD ,Normal,221500
68,528456160,9215,Pave,NA,Inside,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,1218,1218,GasA,Y,SBrkr,0,0,2,0,2,1,4,0,Attchd,2,676,Y,0,136,0,NA,4,2010,New,Partial,204500
69,528458070,8640,Pave,NA,Inside,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,24,Unf,0,732,756,GasA,Y,SBrkr,0,0,2,1,3,1,7,0,Attchd,2,614,Y,169,45,0,NA,6,2010,Con,Normal,215200
70,528458110,9000,Pave,NA,Inside,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,1078,Unf,0,488,1566,GasA,Y,SBrkr,1,0,2,0,3,1,7,0,Attchd,2,750,Y,144,168,0,NA,4,2010,WD ,Normal,262500
71,528477080,12552,Pave,NA,Corner,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,222,Unf,0,769,991,GasA,Y,SBrkr,0,0,2,1,3,1,8,1,Attchd,2,678,Y,0,136,0,GdWo,5,2010,WD ,Normal,254900
72,528480090,10440,Pave,NA,Corner,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,1414,Unf,0,54,1468,GasA,Y,SBrkr,1,0,2,0,2,1,6,1,Attchd,2,528,Y,0,102,0,NA,5,2010,WD ,Normal,271500
73,531367050,10142,Pave,NA,Inside,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,656,Unf,0,300,956,GasA,Y,SBrkr,1,0,2,1,4,1,8,0,BuiltIn,2,618,Y,0,45,0,NA,1,2010,WD ,Normal,233000
74,531369060,11920,Pave,NA,Inside,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,831,831,GasA,Y,SBrkr,0,0,2,1,3,1,8,0,Attchd,2,484,Y,144,68,0,NA,4,2010,WD ,Normal,181000
75,531380080,8880,Pave,NA,Inside,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,695,Unf,0,253,948,GasA,Y,SBrkr,1,0,2,1,3,1,8,2,Attchd,2,463,Y,0,130,0,NA,5,2010,WD ,Normal,205000
76,531451110,8012,Pave,NA,Inside,TwnhsE,1Story,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,CBlock,BLQ,543,BLQ,119,261,923,GasA,Y,SBrkr,0,0,2,0,2,1,5,1,Attchd,1,264,Y,80,0,0,NA,5,2010,WD ,Normal,143000
77,531451280,11218,Pave,NA,Inside,1Fam,2Story,6,5,1992,1992,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,Unf,0,Unf,0,1055,1055,GasA,Y,SBrkr,0,0,2,1,3,1,8,1,Attchd,2,462,Y,635,104,0,GdPrv,5,2010,WD ,Normal,189000
78,531452020,7892,Pave,NA,Inside,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,Plywood,Plywood,CBlock,Unf,0,Unf,0,918,918,GasA,Y,SBrkr,0,0,2,0,2,1,5,1,Attchd,1,264,Y,28,0,0,NA,4,2010,WD ,Normal,99500
79,531452050,7175,Pave,NA,Inside,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,CBlock,ALQ,623,LwQ,121,0,744,GasA,Y,SBrkr,1,0,1,0,2,1,4,0,Attchd,1,264,Y,353,0,0,MnPrv,2,2010,WD ,Normal,125000
80,531452180,9453,Pave,NA,CulDSac,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,PConc,BLQ,402,Unf,0,594,996,GasA,Y,SBrkr,0,0,2,1,3,1,7,0,Attchd,2,457,Y,370,70,0,NA,2,2010,WD ,Normal,194500
81,531453010,9672,Pave,NA,Corner,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,PConc,GLQ,338,Unf,0,702,1040,GasA,Y,SBrkr,0,0,2,0,3,1,6,0,Attchd,2,480,Y,0,0,0,GdPrv,5,2010,WD ,Normal,152000
82,531453040,8400,Pave,NA,Inside,1Fam,2Story,6,6,1980,1981,Gable,CompShg,HdBoard,HdBoard,CBlock,Unf,0,Unf,0,650,650,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,476,Y,0,50,0,MnPrv,4,2010,WD ,Normal,171000
83,531477050,9800,Pave,NA,Corner,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,Unf,0,Unf,0,816,816,GasA,N,FuseA,0,0,1,0,2,1,5,0,Detchd,1,429,Y,121,0,0,NA,4,2010,WD ,Normal,67500
84,532351140,8930,Pave,NA,Inside,Duplex,1.5Fin,6,5,1978,1978,Gable,CompShg,VinylSd,VinylSd,Slab,NA,0,NA,0,0,0,GasA,Y,SBrkr,0,0,2,0,4,2,8,0,Attchd,2,539,Y,0,0,0,NA,4,2010,WD ,Normal,112000
85,532354090,11782,Pave,NA,Inside,1Fam,SFoyer,5,7,1961,1995,Gable,CompShg,HdBoard,HdBoard,CBlock,ALQ,899,Unf,0,210,1109,GasA,Y,SBrkr,1,0,1,0,3,1,6,0,Detchd,2,576,Y,192,0,0,MnPrv,6,2010,WD ,Normal,148000
86,532376160,8450,Pave,NA,Inside,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,CBlock,GLQ,553,BLQ,117,224,894,GasA,Y,SBrkr,1,0,1,0,3,1,5,1,Detchd,1,336,Y,416,144,0,MnPrv,4,2010,WD ,Normal,138500
87,532377060,9819,Pave,NA,Inside,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,CBlock,BLQ,450,Unf,0,432,882,GasA,Y,SBrkr,0,0,1,0,3,1,5,0,Detchd,1,280,Y,0,0,0,MnPrv,2,2010,WD ,Normal,122000
88,532377100,7500,Pave,NA,Corner,1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,CBlock,ALQ,824,Unf,0,216,1040,GasA,Y,SBrkr,1,0,1,1,3,1,5,0,Attchd,1,308,Y,0,0,0,MnPrv,6,2010,WD ,Normal,133000
89,532378110,6897,Pave,NA,Corner,1Fam,1Story,5,8,1962,2010,Gable,CompShg,HdBoard,HdBoard,CBlock,ALQ,659,Unf,0,381,1040,GasA,Y,SBrkr,1,0,1,1,3,1,6,0,Detchd,1,260,Y,0,104,0,NA,4,2010,WD ,Normal,127000
